Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,4.322000,4.325000,4.215000,4.243500,3.397860,36886859
2019-08-15,4.281000,4.298500,4.187000,4.234000,3.390253,22103015
2019-08-16,4.234000,4.375000,4.208500,4.365500,3.495547,46904413
2019-08-19,4.396500,4.425000,4.268500,4.268500,3.417877,18945256
2019-08-20,4.250000,4.258500,4.190000,4.207000,3.368633,19633702
2019-08-21,4.203500,4.261500,4.203500,4.231000,3.387850,10036583
2019-08-22,4.229000,4.371000,4.229000,4.325000,3.463118,22627162
2019-08-23,4.353500,4.373000,4.240000,4.240000,3.395057,24086916
2019-08-26,4.213000,4.307500,4.213000,4.276000,3.423883,10595942
2019-08-27,4.295000,4.333000,4.260500,4.290500,3.435493,17020565
2019-08-28,4.290000,4.312000,4.244000,4.274000,3.422282,26011522
2019-08-29,4.266500,4.368000,4.263500,4.322500,3.461116,14914028
2019-08-30,4.331500,4.359000,4.292000,4.309000,3.450307,19954261
2019-09-02,4.296000,4.330500,4.277000,4.277500,3.425084,15951338
2019-09-03,4.268000,4.318500,4.242000,4.286000,3.431890,15503054
2019-09-04,4.337500,4.363000,4.303000,4.313000,3.453509,18471254
2019-09-05,4.359000,4.497000,4.350000,4.496000,3.600041,24773131
2019-09-06,4.483000,4.560000,4.460500,4.490000,3.595237,15901890
2019-09-09,4.507500,4.602000,4.501000,4.602000,3.684918,16018511
2019-09-10,4.600000,4.702000,4.542000,4.696000,3.760185,26239350
2019-09-11,4.740000,4.772500,4.653000,4.676500,3.744571,21114413
2019-09-12,4.678500,4.775000,4.554000,4.729000,3.786610,30150772
2019-09-13,4.770000,4.871500,4.758000,4.865500,3.895908,28148275
2019-09-16,4.825500,4.846000,4.758500,4.795000,3.839457,16208802
2019-09-17,4.771000,4.782500,4.669000,4.697500,3.761387,18595966
2019-09-18,4.720000,4.743000,4.645500,4.692500,3.757383,17034874
2019-09-19,4.722000,4.784500,4.694000,4.784500,3.831050,14996730
2019-09-20,4.770000,4.900000,4.751500,4.900000,3.923532,76454628
2019-09-23,4.841000,4.850000,4.674000,4.685500,3.751778,26389092
2019-09-24,4.703000,4.726000,4.653500,4.670000,3.739367,16305054
2019-09-25,4.637500,4.682500,4.560500,4.676000,3.744171,34858352
2019-09-26,4.652500,4.711000,4.634500,4.694500,3.758984,43790193
2019-09-27,4.710000,4.769000,4.681500,4.747000,3.801023,12392956
2019-09-30,4.780000,4.805500,4.738500,4.780500,3.827847,29459697
2019-10-01,4.820000,4.828000,4.700500,4.700500,3.763789,52888114
2019-10-02,4.685500,4.706000,4.519000,4.519000,3.618458,24890371
2019-10-03,4.555000,4.555000,4.463000,4.519000,3.618458,168557909
2019-10-04,4.546000,4.560000,4.484500,4.535000,3.631269,100362540
2019-10-07,4.542500,4.613500,4.487000,4.587000,3.672907,83643872
2019-10-08,4.607500,4.619500,4.463000,4.505500,3.607648,68238903
2019-10-09,4.520000,4.555000,4.480500,4.506000,3.608048,65270721
2019-10-10,4.516000,4.628000,4.509500,4.628000,3.705737,20806921
2019-10-11,4.542000,4.719000,4.542000,4.716000,3.859597,36912994
2019-10-14,4.670000,4.682000,4.587000,4.634500,3.792897,35413955
2019-10-15,4.689000,4.753500,4.632000,4.749000,3.886604,32539813
2019-10-16,4.731500,4.836500,4.654500,4.807500,3.934481,22851872
2019-10-17,4.778500,4.876000,4.727000,4.727000,3.868600,113579755
